"landstat_id","Postcode","landstat_name_wmo"
3059,"ZE2 9","Inverness/Dalcross"
3059,"PH35 4","Inverness/Dalcross"
3059,"PH37 4","Inverness/Dalcross"
3059,"PH38 4","Inverness/Dalcross"
3059,"PH39 4","Inverness/Dalcross"
3059,"PH40 4","Inverness/Dalcross"
3059,"PH41 4","Inverness/Dalcross"
3059,"PH33 6","Inverness/Dalcross"
3059,"PH33 7","Inverness/Dalcross"
3059,"PH42 4","Inverness/Dalcross"
3059,"PH43 4","Inverness/Dalcross"
3059,"PH44 4","Inverness/Dalcross"
3059,"PH34 4","Inverness/Dalcross"
3059,"PH30 4","Inverness/Dalcross"
3059,"PH31 4","Inverness/Dalcross"
3059,"PH32 4","Inverness/Dalcross"
3059,"PH26 3","Inverness/Dalcross"
3059,"PH26 9","Inverness/Dalcross"
3059,"PH22 1","Inverness/Dalcross"
3059,"PH23 3","Inverness/Dalcross"
3059,"PH24 3","Inverness/Dalcross"
3059,"PH25 3","Inverness/Dalcross"
3059,"PH20 1","Inverness/Dalcross"
3059,"PH21 1","Inverness/Dalcross"
3059,"PH18 5","Inverness/Dalcross"
3059,"PH19 1","Inverness/Dalcross"
3059,"KW9 6","Inverness/Dalcross"
3059,"KW17 2","Inverness/Dalcross"
3059,"KW2 6","Inverness/Dalcross"
3059,"KW3 6","Inverness/Dalcross"
3059,"KW5 6","Inverness/Dalcross"
3059,"KW6 6","Inverness/Dalcross"
3059,"KW7 6","Inverness/Dalcross"
3059,"KW8 6","Inverness/Dalcross"
3059,"KW16 3","Inverness/Dalcross"
3059,"KW16 9","Inverness/Dalcross"
3059,"KW15 1","Inverness/Dalcross"
3059,"KW15 9","Inverness/Dalcross"
3059,"KW14 8","Inverness/Dalcross"
3059,"KW14 7","Inverness/Dalcross"
3059,"KW14 9","Inverness/Dalcross"
3059,"KW10 6","Inverness/Dalcross"
3059,"KW11 6","Inverness/Dalcross"
3059,"KW12 6","Inverness/Dalcross"
3059,"KW13 6","Inverness/Dalcross"
3059,"KW1 5","Inverness/Dalcross"
3059,"KW1 4","Inverness/Dalcross"
3059,"IV9 8","Inverness/Dalcross"
3059,"IV7 8","Inverness/Dalcross"
3059,"IV8 8","Inverness/Dalcross"
3059,"IV6 7","Inverness/Dalcross"
3059,"IV63 6","Inverness/Dalcross"
3059,"IV63 7","Inverness/Dalcross"
3059,"IV51 9","Inverness/Dalcross"
3059,"IV52 8","Inverness/Dalcross"
3059,"IV53 8","Inverness/Dalcross"
3059,"IV54 8","Inverness/Dalcross"
3059,"IV55 8","Inverness/Dalcross"
3059,"IV56 8","Inverness/Dalcross"
3059,"IV40 8","Inverness/Dalcross"
3059,"IV41 8","Inverness/Dalcross"
3059,"IV42 8","Inverness/Dalcross"
3059,"IV43 8","Inverness/Dalcross"
3059,"IV44 8","Inverness/Dalcross"
3059,"IV45 8","Inverness/Dalcross"
3059,"IV46 8","Inverness/Dalcross"
3059,"IV47 8","Inverness/Dalcross"
3059,"IV48 8","Inverness/Dalcross"
3059,"IV49 9","Inverness/Dalcross"
3059,"IV4 7","Inverness/Dalcross"
3059,"IV5 7","Inverness/Dalcross"
3059,"IV51 0","Inverness/Dalcross"
3059,"IV36 2","Inverness/Dalcross"
3059,"IV36 3","Inverness/Dalcross"
3059,"IV36 1","Inverness/Dalcross"
